t,v,k,N,Source
3,3,69,112.0,two-stage SA (TJ-AG-I)
3,3,70,113.0,two-stage SA (TJ-AG-I)
3,3,71,114.0,two-stage SA (TJ-AG-I)
3,3,73,115.0,two-stage SA (TJ-AG-I)
3,3,75,116.0,two-stage SA (TJ-AG-I)
3,3,79,117.0,two-stage SA (TJ-AG-I)
3,3,83,118.0,two-stage SA (TJ-AG-I)
3,3,84,119.0,two-stage SA (TJ-AG-I)
3,3,85,120.0,two-stage SA (TJ-AG-I)
3,3,87,123.0,two-stage SA (TJ-AG-I)
3,3,89,124.0,two-stage SA (TJ-AG-I)
3,3,92,125.0,two-stage SA (TJ-AG-I)
3,3,96,126.0,two-stage SA (TJ-AG-I)
3,3,98,127.0,two-stage SA (TJ-AG-I)
3,3,105,128.0,two-stage SA (TJ-AG-I)
3,3,121,129.0,two-stage SA (TJ-AG-I)
3,3,125,130.0,two-stage SA (TJ-AG-I)
3,3,127,131.0,two-stage SA (TJ-AG-I)
3,3,128,132.0,two-stage SA (TJ-AG-I)
3,3,129,133.0,two-stage SA (TJ-AG-I)
3,3,130,134.0,two-stage SA (TJ-AG-I)
3,3,144,135.0,Cohen-Colbourn-Ling
3,3,146,139.0,two-stage SA (TJ-AG-I)
3,3,147,140.0,two-stage SA (TJ-AG-I)
3,3,148,141.0,two-stage SA (TJ-AG-I)
3,3,171,145.0,two-stage SA (TJ-AG-I)
3,3,180,146.0,two-stage SA (TJ-AG-I)
3,3,196,147.0,Cohen-Colbourn-Ling
3,3,211,153.0,Cohen-Colbourn-Ling
3,3,213,162.0,two-stage SA (TJ-AG-I)
3,3,231,163.0,two-stage SA (TJ-AG-I)
