"t","v","k","N","Source","generalized","postop","k1","k2","N_gen","N_plain","d_gen","d_plain","arith_tier"
2,7,822,159,"Direct product generalized",TRUE,FALSE,8,103,158,164,1,-5,"ARITH_OPEN"
2,7,900,162,"Direct product",FALSE,FALSE,8,113,163,169,-1,-7,"ARITH_OPEN"
2,7,920,164,"Direct product",FALSE,FALSE,15,62,163,169,1,-5,"ARITH_OPEN"
2,7,957,165,"Direct product generalized",TRUE,FALSE,8,120,165,171,0,-6,"ARITH_INFERRED"
2,7,1030,166,"Direct product generalized",TRUE,FALSE,17,61,166,172,0,-6,"ARITH_INFERRED"
2,7,1040,167,"Direct product",FALSE,FALSE,17,62,166,172,1,-5,"ARITH_OPEN"
2,7,1136,170,"Direct product",FALSE,FALSE,8,142,170,176,0,-6,"ARITHMETIC"
2,7,1386,171,"Direct product",FALSE,FALSE,8,174,171,177,0,-6,"ARITHMETIC"
2,7,5467,193,"Direct product",FALSE,FALSE,8,684,191,197,2,-4,"ARITH_OPEN"
2,7,6491,201,"Direct product generalized",TRUE,FALSE,8,812,200,206,1,-5,"ARITH_OPEN"
2,7,8190,209,"Direct product",FALSE,FALSE,8,1024,208,214,1,-5,"ARITH_OPEN"
2,7,10934,213,"Direct product",FALSE,FALSE,8,1367,213,219,0,-6,"ARITHMETIC"
2,7,20000,217,"Direct product",FALSE,FALSE,6,3334,217,223,0,-6,"ARITHMETIC"
2,8,81,126,"Direct product",FALSE,FALSE,9,9,120,127,6,-1,"ARITH_OPEN"
2,8,123,151,"Direct product generalized",TRUE,FALSE,9,14,152,159,-1,-8,"ARITH_OPEN"
2,8,216,169,"Direct product",FALSE,FALSE,9,24,169,176,0,-7,"ARITHMETIC"
2,8,252,174,"Direct product",FALSE,FALSE,9,28,171,178,3,-4,"ARITH_OPEN"
2,8,270,175,"Direct product",FALSE,FALSE,9,30,175,182,0,-7,"ARITHMETIC"
2,8,730,184,"Direct product",FALSE,FALSE,9,82,188,195,-4,-11,"ARITH_OPEN"
2,8,882,190,"Direct product",FALSE,FALSE,9,98,190,197,0,-7,"ARITHMETIC"
2,8,891,192,"Direct product",FALSE,FALSE,9,99,191,198,1,-6,"ARITH_OPEN"
2,8,1040,200,"Direct product",FALSE,FALSE,13,80,196,203,4,-3,"ARITH_OPEN"
2,8,1078,204,"Direct product",FALSE,FALSE,9,120,204,211,0,-7,"ARITHMETIC"
2,8,1113,206,"Direct product generalized",TRUE,FALSE,9,124,208,215,-2,-9,"ARITH_OPEN"
2,8,1121,207,"Direct product generalized",TRUE,FALSE,9,125,208,215,-1,-8,"ARITH_OPEN"
2,8,1274,210,"Direct product",FALSE,FALSE,13,98,210,217,0,-7,"ARITHMETIC"
2,8,1287,212,"Direct product",FALSE,FALSE,9,143,211,218,1,-6,"ARITH_OPEN"
2,8,1920,225,"Direct product",FALSE,FALSE,9,214,225,232,0,-7,"ARITHMETIC"
2,8,7840,246,"Direct product",FALSE,FALSE,9,872,246,253,0,-7,"ARITHMETIC"
2,8,9256,256,"Direct product",FALSE,FALSE,13,712,252,259,4,-3,"ARITH_OPEN"
2,8,9604,260,"Direct product",FALSE,FALSE,9,1068,260,267,0,-7,"ARITHMETIC"
2,8,9702,261,"Direct product",FALSE,FALSE,9,1078,260,267,1,-6,"ARITH_OPEN"
2,8,11074,266,"Direct product",FALSE,FALSE,9,1231,266,273,0,-7,"ARITHMETIC"
2,8,11088,267,"Direct product",FALSE,FALSE,9,1232,266,273,1,-6,"ARITH_OPEN"
2,8,11440,268,"Direct product",FALSE,FALSE,9,1272,266,273,2,-5,"ARITH_OPEN"
2,8,11466,270,"Direct product",FALSE,FALSE,9,1274,266,273,4,-3,"ARITH_OPEN"
2,8,17088,281,"Direct product",FALSE,FALSE,9,1899,281,288,0,-7,"ARITHMETIC"
2,9,100,160,"Direct product",FALSE,FALSE,10,10,153,161,7,-1,"ARITH_OPEN"
2,9,108,170,"Direct product",FALSE,FALSE,10,11,174,182,-4,-12,"ARITH_OPEN"
2,9,110,174,"Direct product",FALSE,FALSE,10,11,174,182,0,-8,"ARITHMETIC"
2,9,140,184,"Direct product",FALSE,FALSE,10,14,184,192,0,-8,"ARITHMETIC"
2,9,160,196,"Direct product",FALSE,FALSE,10,16,190,198,6,-2,"ARITH_OPEN"
2,9,220,205,"Direct product",FALSE,FALSE,10,22,198,206,7,-1,"ARITH_OPEN"
2,9,250,216,"Direct product",FALSE,FALSE,10,25,216,224,0,-8,"ARITHMETIC"
2,9,260,217,"Direct product",FALSE,FALSE,10,26,217,225,0,-8,"ARITHMETIC"
