"family","t","v","k","N","Source","n","N_pred","domain","tier"
"Add n factors",6,8,249,9283968,"Add 8 factors",8,9283968,TRUE,"ARITHMETIC"
"Add n factors",6,8,250,9509760,"Add 8 factors",8,9509760,TRUE,"ARITHMETIC"
"Add n factors",6,8,251,9513344,"Add 8 factors",8,9513344,TRUE,"ARITHMETIC"
"Add n factors",6,8,253,9552768,"Add 8 factors",8,9552768,TRUE,"ARITHMETIC"
"Add n factors",5,9,819,888417,"Add 1 factors",1,888417,TRUE,"ARITHMETIC"
"Add n factors",5,9,820,1034217,"Add 2 factors",2,1034217,TRUE,"ARITHMETIC"
"Add n factors",5,9,821,1086705,"Add 3 factors",3,1086705,TRUE,"ARITHMETIC"
"Add n factors",5,9,827,1139193,"Add 9 factors",9,1139193,TRUE,"ARITHMETIC"
"Add n factors",5,9,828,1378881,"Add 9 factors",9,1378881,TRUE,"ARITHMETIC"
"Add n factors",5,9,829,1524681,"Add 9 factors",9,1524681,TRUE,"ARITHMETIC"
"Add n factors",5,9,830,1577673,"Add 9 factors",9,1577673,TRUE,"ARITHMETIC"
"Add n factors",5,9,836,1644633,"Add 9 factors",9,1644633,TRUE,"ARITHMETIC"
"Add n factors",6,9,211,8088417,"Add 1 factors",1,8088417,TRUE,"ARITHMETIC"
"Add n factors",6,9,212,9867177,"Add 2 factors",2,9867177,TRUE,"ARITHMETIC"
"Add n factors",6,9,213,11062737,"Add 3 factors",3,11062737,TRUE,"ARITHMETIC"
"Add n factors",6,9,214,11535129,"Add 4 factors",4,11535129,TRUE,"ARITHMETIC"
"Add n factors",6,9,219,12007521,"Add 9 factors",9,12007521,TRUE,"ARITHMETIC"
"Add n factors",6,9,220,14781609,"Add 9 factors",9,14781609,TRUE,"ARITHMETIC"
"Add n factors",6,9,221,16560369,"Add 9 factors",9,16560369,TRUE,"ARITHMETIC"
"Add n factors",6,9,222,17755929,"Add 9 factors",9,17755929,TRUE,"ARITHMETIC"
"Add n factors",6,9,223,18228321,"Add 9 factors",9,18228321,TRUE,"ARITHMETIC"
"Add n factors",6,9,228,18700713,"Add 9 factors",9,18700713,TRUE,"ARITHMETIC"
"Add n factors",6,9,479,29869312,"Add 1 factors",1,29869312,TRUE,"ARITHMETIC"
"Add n factors",6,9,962,35665032,"Add 1 factors",1,35665032,TRUE,"ARITHMETIC"
"Add n factors",6,9,1851,41918888,"Add 1 factors",1,41918888,TRUE,"ARITHMETIC"
"Add n factors",5,10,828,2154669,"Add 1 factors",1,2154669,TRUE,"ARITHMETIC"
"Add n factors",5,10,829,2428269,"Add 2 factors",2,2428269,TRUE,"ARITHMETIC"
"Add n factors",5,10,831,2674539,"Add 4 factors",4,2608269,FALSE,"ARITH_OPEN"
"Add n factors",5,10,832,2725485,"Add 5 factors",5,2608269,FALSE,"ARITH_OPEN"
"Add n factors",5,10,838,2923259,"Add 11 factors",11,2608269,FALSE,"ARITH_OPEN"
"Add n factors",5,10,839,3468839,"Add 11 factors",11,3153849,FALSE,"ARITH_OPEN"
"Add n factors",5,10,840,3742439,"Add 11 factors",11,3427449,FALSE,"ARITH_OPEN"
"Add n factors",5,10,842,3988709,"Add 11 factors",11,3673719,FALSE,"ARITH_OPEN"
