"family","t","v","k","N","Source","m","base_tag","N_pred","tier"
"fuse",4,10,1046,114409,"3,3-Restricted SCPHF RE (CL) fuse",1,"3,3-Restricted SCPHF RE (CL)",114409,"ARITHMETIC"
"fuse",4,10,1184,115619,"3,2-Restricted SCPHF RE (CL) fuse",1,"3,2-Restricted SCPHF RE (CL)",115619,"ARITHMETIC"
"fuse",4,10,1202,115729,"3-Restricted SCPHF RE (CL) fuse",1,"3-Restricted SCPHF RE (CL)",115729,"ARITHMETIC"
"fuse",4,10,1253,116829,"2,2-Restricted SCPHF RE (CL) fuse",1,"2,2-Restricted SCPHF RE (CL)",116829,"ARITHMETIC"
"fuse",4,10,1480,116939,"2-Restricted SCPHF RE (CL) fuse",1,"2-Restricted SCPHF RE (CL)",116939,"ARITHMETIC"
"fuse",4,10,1507,117049,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",117049,"ARITHMETIC"
"fuse",4,10,1508,117119,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",117119,"ARITHMETIC"
"fuse",4,10,2556,131679,"SCPHF Random Extension (CLS) fuse",1,"SCPHF Random Extension (CLS)",131679,"ARITHMETIC"
"fuse",4,10,2595,131759,"CPHF Random Extension (CLS) fuse",1,"CPHF Random Extension (CLS)",131759,"ARITHMETIC"
"fuse",4,10,4378,211479,"Colbourn-Martirosyan-TVT-Walker fuse",1,"Colbourn-Martirosyan-TVT-Walker",211479,"ARITHMETIC"
"fuse",4,10,5654,220609,"Colbourn-Martirosyan-TVT-Walker fuse",1,"Colbourn-Martirosyan-TVT-Walker",220609,"ARITHMETIC"
"fuse",4,10,6204,234059,"Colbourn-Martirosyan-TVT-Walker fuse",1,"Colbourn-Martirosyan-TVT-Walker",234059,"ARITHMETIC"
"fuse",4,10,10000,244049,"Colbourn-Martirosyan-TVT-Walker fuse",1,"Colbourn-Martirosyan-TVT-Walker",244049,"ARITHMETIC"
