"key","tier","family"
"6 11 13 extended OA (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 9 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 10 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 11 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 13 orthogonal array fuse postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 17 Fix 1 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 22 Fix 2 symbols (LCDST) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 24 Fix 3 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 27 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 28 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 12 29 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 12 12 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 12 13 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 12 14 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 12 15 orthogonal array fuse fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 12 16 orthogonal array fuse fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 12 17 orthogonal array fuse fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 12 18 orthogonal array fuse fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 12 183 Raaphorst-Moura-Stevens fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 6 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 7 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 8 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 9 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 10 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 11 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 12 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 13 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 14 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 12 15 extended OA (Colbourn) special fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"5 12 7 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 12 8 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 12 9 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 12 10 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 12 11 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 12 12 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 12 13 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 12 14 orthogonal array fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 12 15 extended OA (Colbourn) special fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"6 12 8 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 12 9 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 12 10 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 12 11 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 12 15 extended OA (Colbourn) special fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"2 13 22 projection (C) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 13 24 Fix 2 symbols (LCDST) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 13 28 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 13 29 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 13 30 Fix 4 symbols (LCDST) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"3 13 15 orthogonal array fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 13 16 orthogonal array fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 13 17 orthogonal array fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 13 18 orthogonal array fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 13 183 Raaphorst-Moura-Stevens","TERMINAL_CLAIMED","terminal (search or published array)"
"3 13 273 Raaphorst-Moura-Stevens fuse fuse fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"4 13 15 extended OA (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"5 13 15 extended OA (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"6 13 15 extended OA (Colbourn)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 6 orthogonal array","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 7 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 8 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 9 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 12 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 13 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 14 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 16 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 17 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 18 projection (C) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 19 Fix 1 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 20 projection (C) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 25 projection (C) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 30 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 31 Fix 4 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 36 Fix 5 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 14 37 Fix 5 symbols (LCDST)","TERMINAL_CLAIMED","terminal (search or published array)"
"3 14 15 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 14 16 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 14 17 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 14 18 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"3 14 273 Raaphorst-Moura-Stevens fuse fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"3 14 307 Raaphorst-Moura-Stevens fuse fuse fuse","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 6 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 7 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 8 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 9 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 10 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 11 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 12 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 13 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 14 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 15 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 16 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 17 orthogonal array fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 18 orthogonal array fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 19 orthogonal array fuse fuse fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"4 14 20 orthogonal array fuse fuse fuse fuse fuse postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"5 14 7 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 14 8 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 14 9 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 14 10 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 14 11 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 14 12 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 14 13 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"5 14 14 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 14 8 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 14 9 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 14 10 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 14 11 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 14 12 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 14 13 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"6 14 14 Augment OA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 6 orthogonal array","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 7 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 8 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 9 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 10 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 12 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 15 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 17 Add Factor SO (AG-TJ-IM)","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 19 projection (C) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 20 projection (C) postop TJ-SA","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 21 projection (C) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 22 projection (C) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 23 projection (C) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
"2 15 24 projection (C) postop NCK","TERMINAL_CLAIMED","terminal (search or published array)"
