"family","t","v","k","N","Source","N_pred","tier"
"Add n factors",6,10,210,25780869,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,211,30557459,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,213,31776963,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,214,33037482,"Add 6 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,215,34761659,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,216,34766059,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,217,34792679,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,219,34805989,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,220,41393899,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,251,51104581,"Add 1 factors",51104581,"ARITHMETIC"
"Add n factors",6,10,252,54353581,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,253,59473211,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,10,530,94123858,"Add 1 factors",94123858,"ARITHMETIC"
"Add n factors",6,10,2211,135860282,"Add 1 factors",135860282,"ARITHMETIC"
"Add n factors",5,11,828,2287901,"Add 1 factors",2287901,"ARITHMETIC"
"Add n factors",5,11,829,2700511,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,11,830,2846921,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,11,838,2993331,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,11,839,3672141,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,11,840,3896051,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,11,841,4231161,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,11,849,4377571,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",5,11,1240,5506080,"Add 1 factors",5506080,"ARITHMETIC"
"Add n factors",5,11,7922,8228560,"Add 1 factors",8228560,"ARITHMETIC"
"Add n factors",6,11,209,23996071,"Add 1 factors",23996071,"ARITHMETIC"
"Add n factors",6,11,210,29293451,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,11,211,33113421,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,11,212,34723931,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",6,11,215,36250181,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",6,11,219,36334441,"Add 11 factors",NA,"ARITH_OPEN"
"Add n factors",6,11,251,52807783,"Add 1 factors",52807783,"ARITHMETIC"
"Add n factors",6,11,252,58105163,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,11,329,73287650,"Add 1 factors",73287650,"ARITHMETIC"
"Add n factors",6,11,2211,138494110,"Add 1 factors",138494110,"ARITHMETIC"
"Add n factors",5,12,768,4496135,"Add 1 factors",4496135,"ARITHMETIC"
"Add n factors",5,12,769,5180423,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,770,5408519,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,771,5717257,"Add 4 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,772,5755372,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,777,6241103,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,780,6241259,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,781,7395863,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,782,8080151,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,783,8308247,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,784,8616985,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,785,8655100,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,786,9140831,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,788,9142703,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,789,9144575,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,790,9146447,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,793,9146603,"Add 13 factors",NA,"ARITH_OPEN"
"Add n factors",5,12,3723,15015306,"Add 1 factors",15015306,"ARITHMETIC"
"Add n factors",6,12,251,62243123,"Add 1 factors",62243123,"ARITHMETIC"
"Add n factors",6,12,252,73685939,"Add 2 factors",NA,"ARITH_OPEN"
"Add n factors",6,12,253,80224691,"Add 3 factors",NA,"ARITH_OPEN"
"Add n factors",6,12,255,88740837,"Add 5 factors",NA,"ARITH_OPEN"
"Add n factors",6,12,256,92536975,"Add 6 factors",NA,"ARITH_OPEN"
"Add n factors",6,12,263,97949447,"Add 13 factors",NA,"ARITH_OPEN"
