"catalogue","cat_row","t","v","k","N","canon_code"
"DPcat",96,2,5,1470,99,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[,      1:6], productCA(miscCA(2, 7, 5), miscCA(2, 7, 5), c1 = 3),      c1 = 5), c1 = 5)"
"DPcat",97,2,5,1575,100,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(miscCA(2, 7, 5), miscCA(2, 9, 5), c1 = 3),      c1 = 5), c1 = 5)"
"DPcat",98,2,5,1715,101,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(miscCA(2, 7, 5),      productCA(miscCA(2, 7, 5), miscCA(2, 7, 5), c1 = 3), c1 = 3),      c1 = 5)"
"DPcat",99,2,5,1764,103,"productCA(CS_CMMSSY(7, 5)[, 1:6], productCA(CS_CMMSSY(7, 5)[,      1:6], productCA(miscCA(2, 7, 5), miscCA(2, 7, 5), c1 = 3),      c1 = 5), c1 = 5)"
"DPcat",100,2,5,1890,104,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7, 5)[,      1:6], productCA(miscCA(2, 7, 5), miscCA(2, 9, 5), c1 = 3),      c1 = 5), c1 = 5)"
"DPcat",101,2,5,3125,105,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6,      5)[, 1:5], CS_CMMSSY(6, 5)[, 1:5], c1 = 5), c1 = 5), c1 = 5),      c1 = 5)"
"DPcat",102,2,5,3750,109,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6,      5)[, 1:5], CS_CMMSSY(7, 5)[, 1:6], c1 = 5), c1 = 5), c1 = 5),      c1 = 5)"
"DPcat",103,2,5,4375,110,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6,      5)[, 1:5], miscCA(2, 7, 5), c1 = 5), c1 = 5), c1 = 5), c1 = 5)"
"DPcat",104,2,5,4500,113,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7,      5)[, 1:6], CS_CMMSSY(7, 5)[, 1:6], c1 = 5), c1 = 5), c1 = 5),      c1 = 5)"
"DPcat",105,2,5,5250,114,"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,      1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(7,      5)[, 1:6], miscCA(2, 7, 5), c1 = 5), c1 = 5), c1 = 5), c1 = 5)"
