"call","N","k","v_min","v_max","nNA","status"
"productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], productCA(CS_CMMSSY(6, 5)[,     1:5], productCA(CS_CMMSSY(6, 5)[, 1:5], miscCA(2, 7, 5),     c1 = 5), c1 = 5), c1 = 5), 5)",110,4375,5,5,0,"ok"
"miscCA(2, 3, 6)",36,3,6,6,0,"ok"
"miscCA(2, 4, 6)",37,4,6,6,0,"ok"
"miscCA(2, 5, 6)",39,5,6,6,0,"ok"
"miscCA(2, 6, 6)",41,6,6,6,0,"ok"
"CS_CMMSSY(9, 6)",46,9,6,6,0,"ok"
"CS_CMMSSY(10, 6)",51,10,6,6,0,"ok"
"CS_CMMSSY(11, 6)",56,11,6,6,0,"ok"
"productCA(miscCA(2, 5, 6), miscCA(2, 5, 6), 4)",72,25,6,6,0,"ok"
"productCA(miscCA(2, 5, 6), miscCA(2, 6, 6), 4)",74,30,6,6,0,"ok"
"productCA(miscCA(2, 6, 6), miscCA(2, 6, 6), 6)",76,36,6,6,0,"ok"
"productCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6)[, 1:8], 6)",81,48,6,6,0,"ok"
"productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9, 6)[, 1:8], 6)",86,64,6,6,0,"ok"
"productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(10, 6)[, 1:9], 6)",91,72,6,6,0,"ok"
"productCA(CS_CMMSSY(10, 6)[, 1:9], CS_CMMSSY(10, 6)[, 1:9], 6)",96,81,6,6,0,"ok"
"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 5, 6), miscCA(2, 6, 6), c1 = 4), 4)",107,150,6,6,0,"ok"
"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), miscCA(2, 6, 6), c1 = 6), 4)",109,180,6,6,0,"ok"
"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), miscCA(2, 6, 6), c1 = 6), 6)",111,216,6,6,0,"ok"
"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), CS_CMMSSY(9, 6)[, 1:8], c1 = 6), 6)",116,288,6,6,0,"ok"
"productCA(miscCA(2, 6, 6), productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9, 6)[, 1:8], c1 = 6), 6)",121,384,6,6,0,"ok"
"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(9, 6)[, 1:8], c1 = 6), 6)",126,512,6,6,0,"ok"
"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[, 1:8], CS_CMMSSY(10, 6)[, 1:9], c1 = 6), 6)",131,576,6,6,0,"ok"
"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(10, 6)[, 1:9], CS_CMMSSY(10, 6)[, 1:9], c1 = 6), 6)",136,648,6,6,0,"ok"
"productCA(miscCA(2, 5, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), miscCA(2,     6, 6), c1 = 6), c1 = 6), 4)",144,1080,6,6,0,"ok"
"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), miscCA(2,     6, 6), c1 = 6), c1 = 6), 6)",146,1296,6,6,0,"ok"
"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), CS_CMMSSY(9,     6)[, 1:8], c1 = 6), c1 = 6), 6)",151,1728,6,6,0,"ok"
"productCA(miscCA(2, 6, 6), productCA(miscCA(2, 6, 6), productCA(CS_CMMSSY(9, 6)[, 1:8],     CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6), 6)",156,2304,6,6,0,"ok"
"productCA(miscCA(2, 6, 6), productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[,     1:8], CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6), 6)",161,3072,6,6,0,"ok"
"productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[, 1:8], productCA(CS_CMMSSY(9, 6)[,     1:8], CS_CMMSSY(9, 6)[, 1:8], c1 = 6), c1 = 6), 6)",166,4096,6,6,0,"ok"
"CS_CMMSSY(8, 7)",49,8,7,7,0,"ok"
"CS_CMMSSY(10, 7)",61,10,7,7,0,"ok"
"CS_CMMSSY(11, 7)",67,11,7,7,0,"ok"
