"family","t","v","k","N","Source","kind","N_pred","tier"
"Martirosyan-TVT",6,16,536,688559824,"Martirosyan-TVT","plain",688559824,"ARITHMETIC"
"Martirosyan-TVT",6,16,544,763894833,"Martirosyan-TVT","plain",763894833,"ARITHMETIC"
"Martirosyan-TVT",6,16,545,764132913,"Martirosyan-TVT variant","variant",764132913,"ARITHMETIC"
"Martirosyan-TVT",6,16,546,764370993,"Martirosyan-TVT","plain",764370993,"ARITHMETIC"
"Martirosyan-TVT",6,16,547,777607649,"Martirosyan-TVT variant","variant",777607649,"ARITHMETIC"
"Martirosyan-TVT",6,16,550,793455761,"Martirosyan-TVT","plain",793455761,"ARITHMETIC"
"Martirosyan-TVT",6,16,551,793612673,"Martirosyan-TVT variant","variant",793612673,"ARITHMETIC"
"Martirosyan-TVT",6,16,568,793769841,"Martirosyan-TVT","plain",793769841,"ARITHMETIC"
"Martirosyan-TVT",6,16,577,794752641,"Martirosyan-TVT variant","variant",794752641,"ARITHMETIC"
"Martirosyan-TVT",6,16,578,803804929,"Martirosyan-TVT","plain",803804929,"ARITHMETIC"
"Martirosyan-TVT",6,17,536,896022468,"Martirosyan-TVT","plain",896022468,"ARITHMETIC"
"Martirosyan-TVT",6,18,383,1465937393,"Martirosyan-TVT variant","variant",1465937393,"ARITHMETIC"
"Martirosyan-TVT",6,18,394,1466167559,"Martirosyan-TVT","plain",1466167559,"ARITHMETIC"
"Martirosyan-TVT",6,18,395,1466397725,"Martirosyan-TVT variant","variant",1466397725,"ARITHMETIC"
"Martirosyan-TVT",6,18,398,1466627891,"Martirosyan-TVT","plain",1466627891,"ARITHMETIC"
"Martirosyan-TVT",6,18,399,1466664233,"Martirosyan-TVT variant","variant",1466664233,"ARITHMETIC"
"Martirosyan-TVT",6,18,401,1466700575,"Martirosyan-TVT variant","variant",1466700575,"ARITHMETIC"
"Martirosyan-TVT",6,18,402,1467743133,"Martirosyan-TVT","plain",1467743133,"ARITHMETIC"
"Martirosyan-TVT",6,18,686,2087315755,"Martirosyan-TVT","plain",2087315755,"ARITHMETIC"
"Martirosyan-TVT",6,18,690,2089530889,"Martirosyan-TVT","plain",2089530889,"ARITHMETIC"
"Martirosyan-TVT",6,18,691,2089777435,"Martirosyan-TVT variant","variant",2089777435,"ARITHMETIC"
"Martirosyan-TVT",6,18,722,2090024305,"Martirosyan-TVT","plain",2090024305,"ARITHMETIC"
"Martirosyan-TVT",6,18,723,2098320486,"Martirosyan-TVT variant","variant",2098320486,"ARITHMETIC"
"Martirosyan-TVT",6,18,724,2106616428,"Martirosyan-TVT","plain",2106616428,"ARITHMETIC"
"Martirosyan-TVT",5,20,29,18371790,"Martirosyan-TVT variant","variant",18371790,"ARITHMETIC"
"Martirosyan-TVT",5,20,30,18474010,"Martirosyan-TVT","plain",18474010,"ARITHMETIC"
"Martirosyan-TVT",5,20,32,18817164,"Martirosyan-TVT","plain",18817164,"ARITHMETIC"
"Martirosyan-TVT",5,20,816,111206506,"Martirosyan-TVT","plain",111206506,"ARITHMETIC"
"Martirosyan-TVT",5,20,817,111236773,"Martirosyan-TVT variant","variant",111236773,"ARITHMETIC"
"Martirosyan-TVT",5,20,819,111333993,"Martirosyan-TVT variant","variant",111333993,"ARITHMETIC"
"Martirosyan-TVT",5,20,828,111382603,"Martirosyan-TVT","plain",111382603,"ARITHMETIC"
"Martirosyan-TVT",5,20,860,111462612,"Martirosyan-TVT","plain",111462612,"ARITHMETIC"
