"fam","t","v","k","N","Source","q","e","plus","nred","M","M_status","N_pred","dN","k_pred","dk","arith_tier"
"CT",6,3,8520,118471,"Power CT25^3S16",25,3,0,16,25,"FORMULA",118471,0,8520,0,"ARITHMETIC"
"CT",6,3,8784,118690,"Power CT25^3S15",25,3,0,15,25,"FORMULA",118690,0,8784,0,"ARITHMETIC"
"CT",6,3,9072,118909,"Power CT25^3S14",25,3,0,14,25,"FORMULA",118909,0,9072,0,"ARITHMETIC"
"CT",6,3,9384,119128,"Power CT25^3S13",25,3,0,13,25,"FORMULA",119128,0,9384,0,"ARITHMETIC"
"CT",6,3,9720,119347,"Power CT25^3S12",25,3,0,12,25,"FORMULA",119347,0,9720,0,"ARITHMETIC"
"CT",6,3,10000,119566,"Power CT25^3S11",25,3,0,11,25,"FORMULA",119566,0,10080,-80,"ARITHMETIC"
"CT",5,4,4522,73761,"Power CT19^3T5T2",19,3,0,2,19,"FORMULA",73761,0,4522,0,"ARITHMETIC"
"CT",5,4,4560,73802,"Power CT19^3T4T3",19,3,0,2,19,"FORMULA",73802,0,4560,0,"ARITHMETIC"
"CT",5,4,4590,73809,"Power CT19^3T4T2T1",19,3,0,3,19,"FORMULA",73809,0,4590,0,"ARITHMETIC"
"CT",5,4,4605,73905,"Power CT19^3T4S3",19,3,0,4,19,"FORMULA",73905,0,4605,0,"ARITHMETIC"
"CT",5,4,4845,73953,"Power CT19^3T4T2",19,3,0,2,19,"FORMULA",73953,0,4845,0,"ARITHMETIC"
"CT",5,4,4860,74049,"Power CT19^3T4T1T1",19,3,0,3,19,"FORMULA",74049,0,4860,0,"ARITHMETIC"
"CT",5,4,5054,74145,"Power CT19^3T5",19,3,0,1,19,"FORMULA",74145,0,5054,0,"ARITHMETIC"
"CT",5,4,5130,74193,"Power CT19^3T4T1",19,3,0,2,19,"FORMULA",74193,0,5130,0,"ARITHMETIC"
"CT",5,4,6137,74913,"Power CT19^3T2",19,3,0,1,19,"FORMULA",74913,0,6137,0,"ARITHMETIC"
"CT",5,4,6156,75009,"Power CT19^3T1T1",19,3,0,2,19,"FORMULA",75009,0,6156,0,"ARITHMETIC"
"CT",5,4,6498,75153,"Power CT19^3T1",19,3,0,1,19,"FORMULA",75153,0,6498,0,"ARITHMETIC"
"CT",5,4,6859,75297,"Power CT19^3",19,3,0,0,19,"FORMULA",75297,0,6859,0,"ARITHMETIC"
"CT",5,4,8820,85827,"Power CT23^3T3T2T2",23,3,0,3,19,"FORMULA",85827,0,8820,0,"ARITHMETIC"
"CT",5,4,9261,85860,"Power CT23^3T2T2T2",23,3,0,3,19,"FORMULA",85860,0,9261,0,"ARITHMETIC"
"CT",5,4,9660,86334,"Power CT23^3T3T2",23,3,0,2,19,"FORMULA",86334,0,9660,0,"ARITHMETIC"
"CT",5,4,9702,86364,"Power CT23^3T2T2T1",23,3,0,3,19,"FORMULA",86364,0,9702,0,"ARITHMETIC"
"CT",5,4,10000,86367,"Power CT23^3T2T2",23,3,0,2,19,"FORMULA",86367,0,10143,-143,"ARITHMETIC"
"CT",6,4,725,378424,"Power CT29^2T4",29,2,0,1,14,"FORMULA",378424,0,725,0,"ARITHMETIC"
"CT",6,4,754,378690,"Power CT29^2T3",29,2,0,1,14,"FORMULA",378690,0,754,0,"ARITHMETIC"
"CT",6,4,842,381360,"Power CT29^2+1",29,2,1,0,14,"FORMULA",381360,0,842,0,"ARITHMETIC"
"CT",6,4,843,395610,"Power CT31^2Arc(4)",31,2,0,4,14,"FORMULA",395610,0,843,0,"ARITHMETIC"
"CT",6,4,871,397035,"Power CT31^2Arc(3)",31,2,0,3,14,"FORMULA",397035,0,871,0,"ARITHMETIC"
"CT",6,4,900,398460,"Power CT31^2T1T1",31,2,0,2,14,"FORMULA",398460,0,900,0,"ARITHMETIC"
"CT",6,4,960,399885,"Power CT32^2T2",32,2,0,1,14,"FORMULA",399885,0,960,0,"ARITHMETIC"
"CT",6,4,1025,401310,"Power CT32^2+1",32,2,1,0,14,"FORMULA",401310,0,1025,0,"ARITHMETIC"
"CT",6,4,1027,420742,"Power CT32^2+3",32,2,3,0,14,"FORMULA",420742,0,1027,0,"ARITHMETIC"
"CT",6,4,1039,441919,"Power CT37^2Arc(10):5 twos,0 ones",37,2,0,5,14,"FORMULA",441919,0,1039,0,"ARITHMETIC"
"CT",6,4,1097,444272,"Power CT37^2Arc(8):4 twos,0 ones",37,2,0,4,14,"FORMULA",444272,0,1097,0,"ARITHMETIC"
