"t","k","v","N_snapshot","N_built","verified","size_ok","note"
4,10,8,6125,6125,TRUE,TRUE,"EXECUTED"
4,14,6,4080,4080,TRUE,TRUE,"EXECUTED"
2,289,16,510,510,TRUE,TRUE,"EXECUTED"
6,26,2,383,383,TRUE,TRUE,"EXECUTED"
2,5763,3,38,38,TRUE,TRUE,"EXECUTED"
3,25,10,2557,2557,TRUE,TRUE,"EXECUTED"
3,11,18,6579,6579,TRUE,TRUE,"EXECUTED"
4,101,2,98,98,TRUE,TRUE,"EXECUTED"
3,26,10,2558,2558,TRUE,TRUE,"EXECUTED"
3,24,11,2541,2541,TRUE,TRUE,"EXECUTED"
4,15,6,4132,4132,TRUE,TRUE,"EXECUTED"
4,5,14,38416,38416,TRUE,TRUE,"EXECUTED"
3,27,10,2564,2564,TRUE,TRUE,"EXECUTED"
3,484,2,50,50,TRUE,TRUE,"EXECUTED"
6,27,2,404,404,TRUE,TRUE,"EXECUTED"
4,107,2,102,102,TRUE,TRUE,"EXECUTED"
2,323,17,561,561,TRUE,TRUE,"EXECUTED"
3,28,10,2579,2579,TRUE,TRUE,"EXECUTED"
2,324,17,576,576,TRUE,TRUE,"EXECUTED"
2,981,9,225,225,TRUE,TRUE,"EXECUTED"
4,10,9,6561,6561,TRUE,TRUE,"EXECUTED"
4,109,2,105,105,TRUE,TRUE,"EXECUTED"
4,16,6,4203,4203,TRUE,TRUE,"EXECUTED"
6,28,2,415,415,TRUE,TRUE,"EXECUTED"
2,440,14,534,534,TRUE,TRUE,"EXECUTED"
4,111,2,106,106,TRUE,TRUE,"EXECUTED"
3,30,10,2584,2584,TRUE,TRUE,"EXECUTED"
4,113,2,107,107,TRUE,TRUE,"EXECUTED"
4,114,2,109,109,TRUE,TRUE,"EXECUTED"
3,11,20,8930,8930,TRUE,TRUE,"EXECUTED"
2,8329,3,39,39,TRUE,TRUE,"EXECUTED"
4,5,15,50625,50625,TRUE,TRUE,"EXECUTED"
3,32,10,2589,2589,TRUE,TRUE,"EXECUTED"
4,17,6,4259,4259,TRUE,TRUE,"EXECUTED"
3,18,16,4096,4096,TRUE,TRUE,"EXECUTED"
2,20000,2,18,18,TRUE,TRUE,"EXECUTED"
4,120,2,110,110,TRUE,TRUE,"EXECUTED"
6,7,6,46656,46656,TRUE,TRUE,"EXECUTED"
2,9207,3,40,40,TRUE,TRUE,"EXECUTED"
3,605,2,52,52,TRUE,TRUE,"EXECUTED"
5,8,7,16807,16807,TRUE,TRUE,"EXECUTED"
6,30,2,440,440,TRUE,TRUE,"EXECUTED"
3,35,10,2599,2599,TRUE,TRUE,"EXECUTED"
4,18,6,4315,4315,TRUE,TRUE,"EXECUTED"
3,18,17,4913,4913,TRUE,TRUE,"EXECUTED"
2,399,19,703,703,TRUE,TRUE,"EXECUTED"
3,37,10,2607,2607,TRUE,TRUE,"EXECUTED"
2,400,19,720,720,TRUE,TRUE,"EXECUTED"
